序号,一级分类,二级分类,素材名,图片数,介绍
61,艺术类,工艺,金银指轮,2,"　　金银指轮是琉球传统的金工工艺品，即以黄金与白银制作的戒指，是琉球贵族与士族阶层喜爱的配饰，也是琉球金工艺术的重要代表。琉球的金工工艺受中国与日本的双重影响，发展出了独特的琉球风格，金银指轮是其中最具代表性的品类之一。
　　金指轮以纯金或金合金制成，色泽温润华贵，是高级贵族的专属配饰；银指轮以纯银制成，色泽明亮素雅，是一般士族与富裕平民的常用配饰。金银指轮的造型丰富多样，有素面圈形、花纹装饰、宝石镶嵌等多种样式，部分高级指轮还雕刻有龙纹、凤纹、花卉纹、几何纹等装饰纹样，工艺精湛，造型优美。琉球人佩戴指轮不仅是为了装饰美观，也具有身份象征与祈福辟邪的文化意义，不同的纹样与材质代表着不同的身份等级与美好祈愿。
　　金银指轮的制作需经熔金、锻打、成型、雕刻、抛光等多道工序，体现了琉球金工匠高超的技艺水平。金银指轮是研究琉球金工工艺、服饰配饰文化与社会等级制度的重要实物资料，反映了琉球贵族与士族的审美趣味与生活方式，也是中琉日金工文化交流的实物见证，具有重要的历史与艺术价值。"
62,艺术类,工艺,菊雕贝笛,1,"　　菊雕贝笛是琉球传统的吹奏乐器与工艺品，以贝壳为材料，雕刻菊花纹样并制成可吹奏的笛子，是琉球工艺中独特的贝雕艺术品。琉球群岛四面环海，贝类资源丰富，贝雕工艺在琉球有着悠久的历史，工匠利用各种贝壳的天然形态与美丽纹理，制作出各种实用器具与装饰艺术品。
　　菊雕贝笛以大型海螺或贝壳为材料，经过切割、打磨、雕刻、钻孔等多道工序制成，笛身雕刻有精美的菊花纹样，菊花是琉球文化中象征高洁与长寿的吉祥花卉，贝笛上的菊雕纹样既具有装饰功能，也蕴含着美好的文化寓意。贝笛的吹奏方式类似于中国的埙或日本的法螺贝，通过吹口与指孔的配合，可以吹奏出悠扬的乐音，在琉球的宗教仪式与民俗活动中使用。菊雕贝笛将乐器的实用性与贝雕的艺术性完美结合，是琉球传统工艺中独具特色的品类，体现了琉球工匠利用海洋材料创造艺术品的智慧与技艺。
　　菊雕贝笛是研究琉球传统乐器、贝雕工艺与海洋文化的重要实物资料，反映了琉球作为海洋国家独特的工艺传统与文化特质，具有重要的历史与艺术价值。"
63,艺术类,工艺,琉球雏,1,"　　琉球雏是琉球传统的人偶工艺品，是日本雏人形（女儿节人偶）在琉球的本土化变体，体现了中日文化在琉球的融合与创新。「雏」在日语中指人偶，雏人形是日本女儿节（3月3日）供奉的人偶，这一习俗在琉球王国时期传入琉球，并与琉球本土的人偶工艺与服饰文化相结合，发展出了独特的琉球雏。
　　琉球雏的造型与日本雏人形有明显区别，人偶的服饰采用琉球传统的红型染织物，色彩鲜艳，纹样丰富，发式与面部特征也具有琉球人的特点，体现了琉球本土的审美趣味。琉球雏多为男女一对，分别穿着琉球贵族的男女礼服，置于特制的雏段（阶梯式陈列台）上，在女儿节期间供奉，祈求女孩健康成长、幸福平安。琉球雏的制作工艺复杂，需经人偶头部制作、身体塑形、服饰缝制、配饰制作等多道工序，高级琉球雏的服饰还使用真正的红型染与金工配饰，工艺精湛，是琉球传统工艺的集大成之作。
　　琉球雏是研究琉球民俗文化、传统工艺与中日文化交流的重要实物资料，反映了琉球在吸收外来文化基础上进行本土化创新的文化特质，是琉球文化多样性的生动体现，具有重要的历史与艺术价值。"
64,艺术类,工艺,马槛船模型,2,"　　马槛船模型是琉球王国时期远洋贸易船的比例模型，是研究琉球造船技术与海洋贸易史的珍贵实物资料。「马槛船」是琉球王国时期的主要远洋贸易船型，因船上设有类似马厩（槛）的舱室而得名，是琉球王国与中国、日本、朝鲜、东南亚各国进行朝贡贸易与民间贸易的主要交通工具。
　　琉球王国是14至17世纪东亚与东南亚海洋贸易的重要中转国，以舟楫为万国之津梁，马槛船是这一海洋贸易帝国的物质基础。马槛船模型按照真实船只的比例缩小制作，详细再现了马槛船的船体结构、帆装、舵具、锚具等部件，是研究琉球造船技术的珍贵资料。马槛船的造船技术深受中国福建造船技术的影响，同时也融入了琉球本土的技术创新与东南亚造船技术的元素，形成了独特的琉球船型。
　　马槛船模型多为当时的工匠或船员制作，用于纪念航海经历或作为航海安全的祈福物，部分模型还被供奉在寺院中，祈求海上平安。马槛船模型是研究琉球海洋贸易史、造船技术史与航海文化的重要实物资料，生动见证了琉球王国作为海洋贸易国家的辉煌历史，是琉球海洋文化的重要象征，具有极高的历史与学术价值。"
65,艺术类,工艺,日伞,1,"　　日伞是琉球传统的遮阳用伞，是琉球贵族与士族女性外出时使用的礼仪用伞，也是琉球传统工艺中纸伞工艺的代表作品。日伞与中国的油纸伞、日本的和伞既有渊源又有区别，是琉球在吸收外来伞工艺基础上发展出的本土样式。
　　日伞以竹为骨架，以和纸或棉布为伞面，伞面多饰有红型染纹样或彩绘图案，色彩鲜艳，纹样丰富，伞柄以黑漆或朱漆涂抹，部分高级日伞还镶嵌螺钿装饰，造型轻盈优雅。日伞在琉球不仅是遮阳避雨的实用器具，更是身份与礼仪的象征，贵族与士族女性外出时，由侍从撑日伞随行，彰显其尊贵身份。在琉球王国的宫廷仪式与庆典中，日伞也是重要的仪仗器物，与両天伞、神扇等共同组成庄严的仪仗队伍。
　　日伞的制作需经竹骨制作、伞面裱糊、绘画装饰、涂漆防水等多道工序，工艺复杂，体现了琉球工匠高超的技艺水平。日伞是研究琉球传统工艺、服饰礼仪与社会等级制度的重要实物资料，反映了琉球贵族的生活方式与审美趣味，也是中琉日工艺文化交流的实物见证，具有重要的历史与艺术价值。"
66,艺术类,工艺,扇,1,"　　扇是琉球传统的工艺品与礼仪用器，包括折扇与团扇两大类，是琉球贵族与士族日常生活与礼仪活动中不可或缺的器物。琉球的扇工艺受中国与日本的双重影响，发展出了独特的琉球风格。
　　折扇（桧扇）以木片或竹片为骨，以纸或绢为面，扇面多饰有彩绘或金泥绘的花卉、山水、人物等纹样，展开呈半圆形，收拢呈长条状，便于携带。团扇（うちわ）以竹为骨架，以纸或绢为面，呈圆形或椭圆形，扇面多饰有红型染纹样或彩绘，是夏季纳凉的常用器具。扇在琉球不仅是实用的纳凉器具，更是重要的礼仪与舞蹈道具，在宫廷仪式、册封使迎接、传统舞踊表演中，扇是不可或缺的道具，舞者手持折扇，配合优雅的舞姿，表达丰富的情感与意境。
　　高级扇的制作工艺复杂，扇骨的雕刻、扇面的绘画、扇柄的装饰均需高超的技艺，部分高级扇还使用金箔、螺钿等珍贵材料装饰，是琉球传统工艺的精品。扇是研究琉球传统工艺、宫廷礼仪、舞蹈艺术与社会生活的重要实物资料，反映了琉球贵族的审美趣味与文化生活，也是中琉日文化交流的实物见证，具有重要的历史与艺术价值。"
67,艺术类,工艺,算盘,1,"　　算盘是琉球传统的计算工具，是中国算盘传入琉球后发展出的本土变体，是研究琉球数学史、商业史与中琉科技交流的重要实物资料。算盘是中国古代发明的计算工具，大约在14至15世纪随中琉贸易与文化交流传入琉球，成为琉球王国商业贸易与财政管理的重要计算工具。
　　琉球算盘的形制与中国算盘基本一致，以木为框，内贯直柱（档），档上穿以木珠（算珠），通过算珠的上下移动进行加减乘除运算。与中国算盘相比，琉球算盘在尺寸、算珠数量与使用习惯上略有不同，体现了本土化的特征。琉球王国的商业贸易发达，需要进行大量的数值计算，算盘是商人与官员必备的计算工具，在朝贡贸易、税收管理、土地丈量等经济活动中广泛使用。琉球的国学与乡学中也设有算术课程，教授算盘的使用方法，培养了大批掌握计算技能的人才。
　　琉球算盘的传入与使用，大大提高了琉球的计算效率与商业管理水平，对琉球的经济发展与社会进步产生了重要影响。算盘是研究琉球数学史、商业史、教育史与中琉科技交流的重要实物资料，反映了中国古代科技文明对琉球的深远影响，也是琉球作为海洋贸易国家商业繁荣的物质见证，具有重要的历史与学术价值。"
68,艺术类,绘画,琉球八景,8,"　　《琉球八景》是日本江户时代著名浮世绘大师葛饰北斋创作的系列风景画，共八幅，描绘了琉球王国（今冲绳）的八处著名景观，是北斋晚年的代表作之一，也是研究琉球历史地理与日本浮世绘艺术的珍贵资料。琉球八景的题材源自中国「潇湘八景」的文化传统，琉球王国在接受中国文化影响后，也发展出了自己的「八景」文化，选取琉球的八处著名景观，分别命名为中城晚霞、金岳暮雪、系满夜月、读谷山晴岚、奥武山秋雨、万座毛落雁、平敷屋归帆、恩纳海风。
　　葛饰北斋以其独特的浮世绘技法，将琉球的亚热带风光与日本传统的风景画艺术相结合，画面色彩鲜明，构图大胆，既有琉球的异域风情，又有日本浮世绘的艺术魅力。《琉球八景》创作于19世纪初，当时琉球王国虽然已被萨摩藩控制，但仍作为独立的王国存在，对日本民众来说充满了异域风情与神秘感，北斋的这一系列作品正是这种文化想象的艺术体现。
　　《琉球八景》不仅是艺术价值极高的浮世绘名作，更是研究琉球历史地理、景观文化与日琉文化交流的珍贵图像资料，具有极高的艺术与历史价值。"
69,艺术类,绘画,琉球风俗图,3,"　　《琉球风俗图》是描绘琉球王国时期社会生活与风俗习惯的系列绘画作品，是研究琉球社会史、民俗学与物质文化的珍贵图像资料。琉球风俗图多由日本江户时代的画家或琉球本土的画家创作，以写实的手法描绘了琉球社会各阶层的日常生活，包括士族与平民的服饰、发式、居住环境、生产劳动、节庆仪式、宗教信仰、饮食娱乐等各个方面。
　　画面中既有士族贵族的优雅生活，也有平民百姓的劳作场景，既有宫廷仪式的庄严场面，也有民间节庆的欢乐氛围，全面而生动地再现了琉球王国时期的社会生活图景。琉球风俗图的创作与日琉之间的文化交流密切相关，江户时代的日本民众对琉球的风俗习惯充满好奇，琉球风俗图正是满足这种文化好奇心的艺术产品，同时也为后世留下了珍贵的民俗图像记录。与文字文献相比，风俗图以直观的图像方式记录了大量难以用文字描述的物质文化细节，如服饰的纹样与色彩、器物的造型与使用方式、建筑的结构与布局等，是研究琉球物质文化不可或缺的第一手资料。
　　《琉球风俗图》是研究琉球社会史、民俗学、物质文化与日琉文化交流的珍贵图像资料，具有极高的历史与艺术价值。"
70,艺术类,绘画,琉球服饰图,3,"　　《琉球服饰图》是专门描绘琉球王国时期各阶层服饰制度与穿着方式的系列绘画作品，是研究琉球服饰文化与社会等级制度的珍贵图像资料。琉球服饰图多由日本江户时代的画家或琉球本土的画家创作，以写实的手法详细描绘了琉球国王、王子、贵族、士族、平民等不同阶层的男女服饰，包括冠帽、上衣、下裳、腰带、鞋履、配饰等各个部件，以及不同场合（如礼服、常服、祭服、舞服）的穿着方式。
　　画面中不仅描绘了服饰的外观形态，还详细标注了服饰的名称、材质、色彩、纹样与穿着方法，是研究琉球服饰制度的系统资料。琉球服饰制度深受中国明代服饰制度的影响，同时也融入了日本与东南亚的服饰元素，形成了独特的琉球服饰体系，服饰的材质、色彩、纹样与配饰都有严格的等级区分，是琉球封建等级制度的物质体现。《琉球服饰图》系统地记录了这一复杂的服饰体系，弥补了文字文献描述不够直观的不足，为研究琉球服饰文化提供了不可替代的图像证据。
　　与红型染织物等实物资料相比，服饰图展示了服饰的穿着方式与整体效果，是理解琉球服饰文化不可或缺的资料。《琉球服饰图》是研究琉球服饰史、社会等级制度、物质文化与中琉日文化交流的珍贵图像资料，具有极高的历史与艺术价值。"
71,艺术类,绘画,琉球国奇观,1,"　　《琉球国奇观》是日本江户时代描绘琉球王国奇异景观与风俗的绘画作品，是研究琉球历史地理、民俗文化与日琉文化交流的珍贵图像资料。「奇观」意为奇异的景观，《琉球国奇观》以猎奇的视角描绘了琉球王国的自然景观、建筑风貌、风俗习惯与奇闻异事，反映了江户时代日本民众对琉球这个「异国」的想象与好奇。
　　画面中既有首里城、守礼门等著名建筑的宏伟景象，也有琉球人独特的服饰、发式与生活习俗，还有琉球特有的动植物与物产，内容丰富，画面生动。《琉球国奇观》的创作与江户时代日本的「琉球热」密切相关，当时琉球作为日本的附属国同时又是中国的朝贡国，其独特的文化与政治地位使其成为日本民众想象中的「异国」，大量以琉球为题材的绘画、书籍与戏剧应运而生，《琉球国奇观》正是这一文化潮流的产物。虽然其中部分内容带有猎奇与想象的成分，并非完全写实，但仍为研究琉球的历史地理与民俗文化提供了珍贵的图像资料，也反映了日琉之间复杂的文化关系。
　　《琉球国奇观》是研究琉球历史地理、民俗文化、日本对琉球的文化想象与日琉文化交流的珍贵图像资料，具有重要的历史与艺术价值。"
72,艺术类,绘画,琉球来聘使登营图,1,"　　《琉球来聘使登营图》是日本江户时代描绘琉球王国使节访问日本萨摩藩或江户幕府场景的绘画作品，是研究琉日外交关系、宫廷礼仪与物质文化的珍贵图像资料。「来聘使」指前来访问的外交使节，「登营」指使节抵达并进入日本方面的营地或官邸。
　　琉球王国在1609年萨摩藩入侵后，被迫向日本萨摩藩（后为江户幕府）朝贡，定期派遣使节前往日本，进行朝贡、庆贺、谢恩等外交活动，《琉球来聘使登营图》正是记录这些外交活动的绘画作品。画面详细描绘了琉球使节团的组成、服饰、仪仗、礼物，以及日方的迎接仪式、接待礼仪、宴会场景等，生动再现了琉日外交活动的全过程。琉球使节的服饰采用琉球传统的红型染礼服与王冠，仪仗器物也具有琉球特色，与日方的服饰与礼仪形成鲜明对比，是研究琉球服饰、器物与礼仪制度的珍贵图像资料。
　　《琉球来聘使登营图》不仅是艺术价值很高的绘画作品，更是研究琉日外交关系、册封朝贡制度、宫廷礼仪与物质文化的第一手图像资料，对于理解琉球王国在东亚国际秩序中的特殊地位（同时向中国与日本朝贡的「两属」体制）具有重要的历史与学术价值。"
73,艺术类,绘画,琉球人来朝图,1,"　　《琉球人来朝图》是日本江户时代描绘琉球王国使节前往日本江户（今东京）谒见幕府将军场景的大型绘画作品，是研究琉日外交关系、宫廷礼仪与琉球文化的珍贵图像资料。「来朝」指前来朝见，琉球王国在1609年萨摩藩入侵后，被迫定期派遣使节前往江户，谒见幕府将军，进行朝贡与庆贺活动，这一制度被称为「上江户」，是琉球王国对日本外交的重要组成部分。
　　《琉球人来朝图》以宏大的画面详细描绘了琉球使节团从琉球出发、抵达日本、前往江户、谒见将军、参加宴会、归国的全过程，包括使节团的人员组成、服饰仪仗、礼物清单、行进路线、迎接仪式、谒见礼仪、宴会场景等，内容极为丰富。琉球使节的服饰采用琉球传统的红型染礼服、玉冠、金簪等，仪仗器物也具有鲜明的琉球特色，与日本的服饰礼仪形成鲜明对比，是研究琉球物质文化的珍贵图像资料。
　　《琉球人来朝图》不仅是艺术价值极高的绘画作品，更是研究琉日外交关系、朝贡制度、宫廷礼仪、琉球物质文化与东亚国际秩序的第一手图像资料，对于理解琉球王国「两属」外交体制的运作方式与文化内涵具有不可替代的历史与学术价值。"
74,艺术类,绘画,琉球人乐器冠服图,1,"　　《琉球人乐器冠服图》是日本江户时代描绘琉球王国宫廷乐师的乐器、冠帽与服饰的专门绘画作品，是研究琉球宫廷音乐、服饰制度与中琉日文化交流的珍贵图像资料。这幅作品以写实的手法，详细描绘了琉球宫廷乐师所使用的各种乐器（如三线、胡弓、太鼓、笛、筝等）、所佩戴的冠帽（如玉冠、王子冠、皮弁冠等）、以及所穿着的礼服（如红型染上衣、裙カカン等），并配有详细的文字说明，标注了各种器物的名称、材质、尺寸与使用方法。
　　琉球宫廷音乐是琉球王国宫廷艺术的重要组成部分，深受中国宫廷音乐与日本雅乐的影响，同时融入了琉球本土的音乐元素，形成了独特的琉球宫廷音乐体系，在国王即位、册封使迎接、新年朝贺等重要典礼中演奏。《琉球人乐器冠服图》系统地记录了这一音乐体系所使用的乐器与服饰，是研究琉球宫廷音乐不可多得的图像资料。与单纯的乐器或服饰资料相比，这幅作品将乐器、冠服与乐师的演奏姿态结合在一起，展示了宫廷音乐表演的整体效果，对于理解琉球宫廷艺术的表演形式与文化内涵具有重要价值。
　　《琉球人乐器冠服图》是研究琉球宫廷音乐、服饰制度、宫廷礼仪与中琉日文化交流的珍贵图像资料，具有极高的历史与艺术价值。"
75,艺术类,漆器,黒漆云龙螺钿大盆,1,"　　黒漆云龙螺钿大盆是琉球漆器的代表作之一，以黑漆为地，以螺钿工艺镶嵌云龙纹样，是琉球漆艺中螺钿技法的精品。琉球漆器是琉球王国最具代表性的传统工艺之一，受中国漆器工艺影响深远，同时融入了琉球本土的审美与技术，形成了独特的琉球漆艺风格。
　　黒漆云龙螺钿大盆以木为胎，经多次髹漆形成厚实的黑漆地，漆面乌黑光亮，质感温润。螺钿工艺是将夜光蝾螺、鲍鱼贝等贝类的内壳打磨成薄片，切割成龙纹与云纹的形状，镶嵌于漆面之上，贝壳的虹彩光泽与黑漆的深沉底色形成鲜明对比，华丽而不失庄重。龙纹是琉球王室的专属纹样，象征王权与尊贵，云龙纹组合寓意王权天授、君临万国。这件大盆体型硕大，工艺精湛，是琉球王国宫廷使用的重要礼器或陈设器，用于宫廷仪式、宴会或册封使接待等重要场合。
　　琉球漆器在王国时期由王室设立的「贝摺奉行所」专门管理生产，是琉球对外贸易的重要商品，远销中国、日本与东南亚。黒漆云龙螺钿大盆是研究琉球漆艺、螺钿工艺、宫廷礼器与中琉文化交流的重要实物资料，体现了琉球漆艺的最高水平，具有极高的历史与艺术价值。"
76,艺术类,漆器,金地青贝葡萄栗鼠小箱,1,"　　金地青贝葡萄栗鼠小箱是琉球漆器的精品之作，以金漆为地，以青贝（螺钿）镶嵌葡萄与栗鼠纹样，是琉球漆艺中螺钿与金地技法完美结合的代表作品。琉球漆器的「金地」技法是在漆地上敷以金粉或金箔，形成金碧辉煌的金色地子，再在其上进行螺钿镶嵌或彩绘装饰，工艺复杂，成本高昂，是琉球高级漆器的标志性技法。
　　金地青贝葡萄栗鼠小箱以木为胎，经髹漆、敷金形成金地，再以青贝（夜光贝的一种，色泽偏青蓝）镶嵌葡萄藤与栗鼠纹样，葡萄的果实、藤蔓与叶片均以贝片精细镶嵌，栗鼠的形态生动活泼，正攀援于葡萄藤间，画面充满生机与趣味。葡萄与栗鼠的组合寓意多子多孙、丰收富足，是东亚文化中常见的吉祥纹样。这件小箱体型小巧，工艺精湛，是琉球贵族用于存放首饰、香料或小物件的收纳器具，也是体现主人身份与品位的陈设品。
　　金地青贝葡萄栗鼠小箱是研究琉球漆艺、金地技法、螺钿工艺与贵族生活文化的重要实物资料，其华丽的金色地子与虹彩的青贝纹样相得益彰，体现了琉球漆艺追求华丽富贵的审美取向，具有极高的历史与艺术价值。"
77,艺术类,漆器,菊堆锦食笼,1,"　　菊堆锦食笼是琉球漆器中堆锦技法的代表作，以堆锦工艺装饰菊花纹样，是琉球漆艺中独具特色的食器。「堆锦」是琉球独有的漆器装饰技法，1715年由琉球工匠比嘉筑登之亲云上乘昌在中国加饰法的基础上创新发明，将颜料与透漆混合揉练成麻糬状的「堆锦饼」，按纹样形状切割后贴于漆面，形成立体的浮雕效果，色彩鲜艳，层次分明，极具装饰性。
　　菊堆锦食笼以木为胎，髹以朱漆或黑漆为地，再以堆锦技法装饰菊花纹样，菊花的花瓣层层叠叠，色彩由深至浅渐变，立体感强，栩栩如生。菊花在琉球文化中象征高洁与长寿，是常见的吉祥纹样，食笼上的菊纹既具装饰功能，也蕴含美好的文化寓意。食笼是琉球传统的盛放食物的器具，用于宫廷宴会、祭祀仪式或节庆活动，堆锦食笼因其华丽的装饰而成为高级礼器，仅在重要场合使用。
　　菊堆锦食笼是研究琉球漆艺、堆锦技法、食器文化与宫廷礼仪的重要实物资料，堆锦技法作为琉球独有的漆艺创新，体现了琉球工匠在吸收中国漆艺基础上的本土化创造，是琉球文化兼收并蓄、勇于创新的生动体现，具有极高的历史与艺术价值。"
78,艺术类,漆器,琉球螺钿蝴蝶纹盒,1,"　　琉球螺钿蝴蝶纹盒是琉球漆器中螺钿工艺的精美作品，以黑漆为地，以螺钿镶嵌蝴蝶纹样，是琉球漆艺中自然题材装饰的代表。琉球漆器的螺钿工艺受中国影响深远，但在纹样选择上融入了琉球本土的自然审美，蝴蝶、花卉、鸟类等自然题材是琉球螺钿漆器中常见的装饰纹样，体现了琉球人对自然之美的热爱。
　　琉球螺钿蝴蝶纹盒以木为胎，经多次髹漆形成厚实的黑漆地，再以夜光蝾螺、鲍鱼贝等贝类的内壳打磨成薄片，切割成蝴蝶的形状，镶嵌于漆面之上，蝴蝶的翅膀纹理以贝片的天然虹彩表现，在光线下呈现出变幻的色彩，栩栩如生，美丽动人。蝴蝶在琉球文化中象征美丽、自由与爱情，是深受喜爱的吉祥纹样，蝴蝶纹盒既是实用的收纳器具，也是寓意美好的装饰品。这件盒子造型规整，工艺精湛，是琉球贵族女性用于存放首饰、香料或化妆品的收纳盒，也是体现其审美品位与身份地位的随身器物。
　　琉球螺钿蝴蝶纹盒是研究琉球漆艺、螺钿工艺、女性文化与自然审美的重要实物资料，其精美的蝴蝶纹样与黑漆地子形成鲜明对比，体现了琉球漆艺追求华丽与自然之美的审美取向，是琉球传统工艺中兼具实用与审美价值的精品，具有重要的历史与艺术价值。"
79,艺术类,漆器,琉球青贝椿文盆,1,"　　琉球青贝椿文盆是琉球漆器中螺钿工艺的代表作品，以黑漆为地，以青贝镶嵌椿花（山茶花）纹样，是琉球漆艺中本土花卉题材的精品。椿花（山茶花）是琉球群岛最具代表性的花卉之一，冬季盛开，花色红艳，生命力顽强，深受琉球人民的喜爱，是琉球文化中象征坚韧、纯洁与吉祥的花卉，也是琉球漆器、红型染、绘画等艺术中常见的装饰纹样。
　　琉球青贝椿文盆以木为胎，髹以黑漆为地，再以青贝（夜光贝的一种，色泽偏青蓝，虹彩效果独特）镶嵌椿花纹样，椿花的花瓣、花蕊与枝叶均以贝片精细切割镶嵌，贝片的虹彩光泽在黑漆地子的衬托下格外绚丽，将椿花的美丽表现得淋漓尽致。这件盆器造型优雅，工艺精湛，是琉球宫廷或贵族用于盛放食物、果品或茶具的器具，也是重要的陈设品。青贝螺钿是琉球螺钿工艺中独具特色的品种，与普通的白贝螺钿相比，青贝的色泽更加冷艳，虹彩效果更加独特，是琉球高级螺钿漆器的标志。
　　琉球青贝椿文盆是研究琉球漆艺、青贝螺钿工艺、花卉文化与本土审美的重要实物资料，体现了琉球工匠对本土自然之美的艺术表达，具有极高的历史与艺术价值。"
80,艺术类,漆器,琉球朱漆沈金螺钿吸物椀,1,"　　琉球朱漆沈金螺钿吸物椀是琉球漆器中多种技法综合运用的精品，以朱漆为地，综合运用沈金与螺钿两种技法装饰，是琉球漆艺中食器类的代表作品。「吸物椀」是琉球（也是日本）传统的汤碗，用于盛放汤汁类食物，是琉球宫廷宴会与日常饮食中重要的食器。
　　这件吸物椀以木为胎，髹以朱漆为地，朱红色泽鲜艳温暖，是琉球漆器中最具代表性的底色之一。「沈金」是琉球漆器的重要装饰技法之一，以刻刀在漆面上雕刻出纹样，再将金箔或金粉填入刻痕，形成金色的纹样，线条流畅，金光闪闪，与朱漆地子形成华丽的对比。螺钿则以贝片镶嵌花卉或几何纹样，贝片的虹彩与沈金的金色交相辉映，使碗的装饰极为华丽丰富。
　　这件吸物椀综合运用了朱漆、沈金、螺钿三种技法，工艺复杂，装饰华丽，是琉球宫廷使用的高级食器，用于重要的宴会或仪式场合。琉球漆器的食器类作品存世量较少，这件朱漆沈金螺钿吸物椀是其中的精品，对于研究琉球漆艺、食器文化、宫廷饮食与多种漆艺技法的综合运用具有重要价值，体现了琉球漆艺追求华丽富贵、技法多元的艺术特色，具有极高的历史与艺术价值。"
81,艺术类,漆器,楼阁人物螺钿八角壶,1,"　　楼阁人物螺钿八角壶是琉球漆器中螺钿工艺的鸿篇巨制，以黑漆为地，以螺钿镶嵌楼阁人物纹样，器形为八角形，是琉球漆艺中体型最大、工艺最复杂的作品之一。这件八角壶以木为胎，造型为八方形的壶体，体型硕大，气势恢宏，是琉球王国宫廷的重要陈设器或礼器。
　　壶身以螺钿工艺镶嵌楼阁人物纹样，画面描绘了中国风格的亭台楼阁、山水庭院与人物活动，人物姿态各异，或对弈、或抚琴、或赏景、或交谈，生动再现了古代文人雅士的生活场景，是受中国山水画与人物画影响的装饰题材。螺钿镶嵌极为精细，楼阁的飞檐斗拱、人物的衣纹表情、山水的树木流水均以贝片精细切割镶嵌，贝片的虹彩光泽在黑漆地子的衬托下绚丽夺目，画面层次丰富，立体感强。八角形的器形在琉球漆器中较为少见，制作难度更大，体现了琉球工匠高超的造型能力。
　　楼阁人物螺钿八角壶是研究琉球漆艺、螺钿工艺、宫廷陈设器与中琉文化交流的重要实物资料，其宏大的器形、精细的螺钿与丰富的人物画面，代表了琉球漆艺的最高成就，是琉球漆器中不可多得的国宝级作品，具有极高的历史与艺术价值。"
82,艺术类,漆器,葡萄栗鼠螺钿箙,1,"　　葡萄栗鼠螺钿箙是琉球漆器中螺钿工艺的精美作品，以黑漆为地，以螺钿镶嵌葡萄与栗鼠纹样，「箙」是古代用于盛放箭矢的器具，这件螺钿箙是琉球王国宫廷或高级武士的礼仪用器。琉球漆器的螺钿工艺受中国影响深远，但在器物造型与纹样选择上融入了琉球本土的特色。
　　葡萄栗鼠螺钿箙以木为胎，经多次髹漆形成厚实的黑漆地，再以夜光蝾螺、鲍鱼贝等贝类的内壳打磨成薄片，切割成葡萄藤、葡萄果实与栗鼠的形状，镶嵌于漆面之上。葡萄的果实成串饱满，栗鼠攀援于葡萄藤间，姿态生动活泼，正欲摘取葡萄，画面充满生机与趣味。葡萄与栗鼠的组合寓意多子多孙、丰收富足，是东亚文化中常见的吉祥纹样。
　　「箙」作为盛箭器具，原本具有军事功能，但这件螺钿箙装饰极为华丽，已超出实用功能，成为宫廷礼仪或仪式中使用的礼器，象征武运长久与身份尊贵。葡萄栗鼠螺钿箙是研究琉球漆艺、螺钿工艺、礼仪用器与武家文化的重要实物资料，其精美的螺钿纹样与黑漆地子形成鲜明对比，体现了琉球漆艺追求华丽富贵的审美取向，也是中琉漆艺文化交流的实物见证，具有极高的历史与艺术价值。"
83,艺术类,漆器,清代黑漆嵌螺钿双龙戏珠长方攒盒,1,"　　清代黑漆嵌螺钿双龙戏珠长方攒盒是中国清代宫廷漆器的精品，以黑漆为地，以螺钿镶嵌双龙戏珠纹样，器形为长方形攒盒，是清代宫廷漆器中螺钿工艺的代表作品，现收藏于故宫博物院。这件长方攒盒以木为胎，经多次髹漆形成厚实的黑漆地，漆面乌黑光亮，质感温润。
　　盒面以螺钿工艺镶嵌双龙戏珠纹样，两条龙相对而舞，争夺中间的火焰宝珠，龙身蜿蜒矫健，龙鳞、龙须、龙爪均以贝片精细镶嵌，火焰宝珠与祥云纹环绕其间，画面气势恢宏，工艺精湛。「攒盒」是中国传统的盛放食品的器具，内部分为多个小格，可分别盛放不同的果品、点心或菜肴，是宫廷宴会或节庆活动中常用的食器。双龙戏珠纹样是中国皇家的专属纹样，象征皇权与尊贵，这件攒盒应为清代宫廷使用的高级食器或礼器。
　　这件清代宫廷漆器与琉球漆器在工艺上有密切的渊源关系，琉球的螺钿漆器工艺正是受中国清代漆器的影响而发展起来的，二者在技法、纹样与审美上既有联系又有区别，是研究中琉漆艺文化交流的重要对比资料。清代黑漆嵌螺钿双龙戏珠长方攒盒是研究中国清代宫廷漆艺、螺钿工艺、宫廷食器与中琉文化交流的重要实物资料，体现了中国清代宫廷漆器的最高工艺水平，具有极高的历史与艺术价值。"
